"id","name","created_at","updated_at"
"1","agriculture (cropping)","2016-02-14 10:03:43.31501","2016-02-14 10:03:43.31501"
"2","animal husbandry","2016-02-14 10:03:54.602804","2016-02-14 10:03:54.602804"
"3","mixed farming","2016-02-14 10:04:02.084279","2016-02-14 10:04:02.084279"
"4","nature protection","2016-02-14 10:04:14.394135","2016-02-14 10:04:14.394135"
"5","settlement, industry","2016-02-14 10:04:31.227629","2016-02-14 10:04:31.227629"
"6","extraction and collection","2016-02-14 10:04:49.894651","2016-02-14 10:04:49.894651"
"7","forestry","2016-02-14 10:05:09.242149","2016-02-14 10:05:09.242149"
