"id","name","created_at","updated_at"
"1","closed forest","2016-02-14 10:05:26.293752","2016-02-14 10:05:26.293752"
"2","woodland","2016-02-14 10:05:33.511171","2016-02-14 10:05:33.511171"
"3","shrub","2016-02-14 10:05:39.633928","2016-02-14 10:05:39.633928"
"4","dwarf shrub","2016-02-14 10:05:50.255805","2016-02-14 10:05:50.255805"
"5","herbaceous","2016-02-14 10:06:10.075481","2016-02-14 10:06:10.075481"
"6","no vegetation","2016-02-14 10:06:16.716961","2016-02-14 10:06:16.716961"
